Time (year),tos (K)
1850.5,291.09759521484375
1851.5,291.11346435546875
1852.5,291.12640380859375
1853.5,291.1383056640625
1854.5,291.150146484375
1855.5,291.1608581542969
1856.5,291.1726379394531
1857.5,291.185791015625
1858.5,291.1986999511719
1859.5,291.21136474609375
1860.5,291.2249450683594
1861.5,291.23992919921875
1862.5,291.2539367675781
1863.5,291.268310546875
1864.5,291.28448486328125
1865.5,291.2996826171875
1866.5,291.3151550292969
1867.5,291.3304138183594
1868.5,291.34747314453125
1869.5,291.365478515625
1870.5,291.3835144042969
1871.5,291.4018249511719
1872.5,291.4190368652344
1873.5,291.4353332519531
1874.5,291.45111083984375
1875.5,291.46636962890625
1876.5,291.48101806640625
1877.5,291.4964294433594
1878.5,291.51171875
1879.5,291.52874755859375
1880.5,291.5472412109375
1881.5,291.56549072265625
1882.5,291.58270263671875
1883.5,291.60028076171875
1884.5,291.61767578125
1885.5,291.6361389160156
1886.5,291.65606689453125
1887.5,291.6758117675781
1888.5,291.6953430175781
1889.5,291.7157287597656
1890.5,291.7355651855469
1891.5,291.7560729980469
1892.5,291.7765197753906
1893.5,291.7968444824219
1894.5,291.8165588378906
1895.5,291.8369445800781
1896.5,291.857666015625
1897.5,291.87933349609375
1898.5,291.9008483886719
1899.5,291.92254638671875
1900.5,291.9446105957031
1901.5,291.9668884277344
1902.5,291.9884033203125
1903.5,292.01025390625
1904.5,292.03265380859375
1905.5,292.0551452636719
1906.5,292.077392578125
1907.5,292.0999755859375
1908.5,292.1216125488281
1909.5,292.1441345214844
1910.5,292.1668395996094
1911.5,292.18914794921875
1912.5,292.21124267578125
1913.5,292.2328796386719
1914.5,292.25445556640625
1915.5,292.2759094238281
1916.5,292.2972717285156
1917.5,292.31793212890625
1918.5,292.33514404296875
1919.5,292.3471374511719
1920.5,292.356201171875
1921.5,292.3622741699219
1922.5,292.3668518066406
1923.5,292.3695373535156
1924.5,292.37176513671875
1925.5,292.3733215332031
1926.5,292.37432861328125
1927.5,292.37481689453125
1928.5,292.3749694824219
1929.5,292.3743591308594
1930.5,292.37396240234375
1931.5,292.372802734375
1932.5,292.3723449707031
1933.5,292.3708801269531
1934.5,292.3691711425781
1935.5,292.3675537109375
1936.5,292.3659362792969
1937.5,292.3644714355469
1938.5,292.3625793457031
1939.5,292.3605041503906
1940.5,292.3592834472656
1941.5,292.3578186035156
1942.5,292.3561706542969
1943.5,292.3540344238281
1944.5,292.35174560546875
1945.5,292.3497619628906
1946.5,292.3481750488281
1947.5,292.3466491699219
1948.5,292.3451232910156
1949.5,292.3435363769531
1950.5,292.3421630859375
1951.5,292.3407897949219
1952.5,292.3395690917969
1953.5,292.3382568359375
1954.5,292.33673095703125
1955.5,292.3358154296875
1956.5,292.33502197265625
1957.5,292.3340759277344
1958.5,292.3333435058594
1959.5,292.3328552246094
1960.5,292.33245849609375
1961.5,292.3317565917969
1962.5,292.3311462402344
1963.5,292.33123779296875
1964.5,292.3312072753906
1965.5,292.33099365234375
1966.5,292.3303527832031
1967.5,292.3301696777344
1968.5,292.3304748535156
1969.5,292.3302001953125
1970.5,292.3302307128906
1971.5,292.33026123046875
1972.5,292.3305969238281
1973.5,292.33001708984375
1974.5,292.3302001953125
1975.5,292.33074951171875
1976.5,292.3311767578125
1977.5,292.33135986328125
1978.5,292.3312072753906
1979.5,292.3309326171875
1980.5,292.33172607421875
1981.5,292.33258056640625
1982.5,292.3328857421875
1983.5,292.3332214355469
1984.5,292.3336486816406
1985.5,292.3333740234375
1986.5,292.33404541015625
1987.5,292.33544921875
1988.5,292.3362121582031
1989.5,292.3368835449219
1990.5,292.3371276855469
1991.5,292.3371887207031
1992.5,292.3383483886719
1993.5,292.3393859863281
1994.5,292.3402099609375
1995.5,292.3410949707031
1996.5,292.3411560058594
1997.5,292.34185791015625
1998.5,292.34234619140625
1999.5,292.343017578125
2000.5,292.34356689453125
2001.5,292.34381103515625
2002.5,292.3445129394531
2003.5,292.3455810546875
2004.5,292.34698486328125
2005.5,292.3481140136719
2006.5,292.34881591796875
2007.5,292.3495788574219
2008.5,292.3505859375
2009.5,292.35125732421875
2010.5,292.3522033691406
2011.5,292.3531494140625
2012.5,292.3540344238281
2013.5,292.3546142578125
2014.5,292.35498046875
2015.5,292.35528564453125
2016.5,292.3558654785156
2017.5,292.3570861816406
2018.5,292.35797119140625
2019.5,292.3592834472656
2020.5,292.3604736328125
2021.5,292.36083984375
2022.5,292.36181640625
2023.5,292.3623046875
2024.5,292.3628845214844
2025.5,292.3633117675781
2026.5,292.3641662597656
2027.5,292.3651428222656
2028.5,292.3655090332031
2029.5,292.3663635253906
2030.5,292.3668212890625
2031.5,292.3675842285156
2032.5,292.36846923828125
2033.5,292.36883544921875
2034.5,292.3697204589844
2035.5,292.369873046875
2036.5,292.3708190917969
2037.5,292.3712463378906
2038.5,292.3719787597656
2039.5,292.3723449707031
2040.5,292.3725891113281
2041.5,292.3734130859375
2042.5,292.37384033203125
2043.5,292.3747863769531
2044.5,292.3756103515625
2045.5,292.3758239746094
2046.5,292.3766174316406
2047.5,292.3764343261719
2048.5,292.3770751953125
2049.5,292.3773193359375
