Time (year),rlut (W m-2 s-1)
1850.5,237.0880584716797
1851.5,237.10633850097656
1852.5,237.12001037597656
1853.5,237.12440490722656
1854.5,237.13221740722656
1855.5,237.1310577392578
1856.5,237.13243103027344
1857.5,237.13551330566406
1858.5,237.13507080078125
1859.5,237.13084411621094
1860.5,237.13304138183594
1861.5,237.12611389160156
1862.5,237.12620544433594
1863.5,237.1242218017578
1864.5,237.12254333496094
1865.5,237.115234375
1866.5,237.10690307617188
1867.5,237.10061645507812
1868.5,237.09127807617188
1869.5,237.09130859375
1870.5,237.08810424804688
1871.5,237.08163452148438
1872.5,237.07362365722656
1873.5,237.06088256835938
1874.5,237.04632568359375
1875.5,237.0313262939453
1876.5,237.00601196289062
1877.5,236.97332763671875
1878.5,236.94017028808594
1879.5,236.91314697265625
1880.5,236.8832550048828
1881.5,236.85789489746094
1882.5,236.82789611816406
1883.5,236.80068969726562
1884.5,236.7790985107422
1885.5,236.75111389160156
1886.5,236.73211669921875
1887.5,236.71188354492188
1888.5,236.6994171142578
1889.5,236.67349243164062
1890.5,236.64596557617188
1891.5,236.61083984375
1892.5,236.58045959472656
1893.5,236.54425048828125
1894.5,236.50291442871094
1895.5,236.47068786621094
1896.5,236.43807983398438
1897.5,236.410888671875
1898.5,236.3885040283203
1899.5,236.36688232421875
1900.5,236.35223388671875
1901.5,236.35133361816406
1902.5,236.34751892089844
1903.5,236.330322265625
1904.5,236.31886291503906
1905.5,236.3069610595703
1906.5,236.3018798828125
1907.5,236.29251098632812
1908.5,236.2875213623047
1909.5,236.2834014892578
1910.5,236.28469848632812
1911.5,236.28802490234375
1912.5,236.28857421875
1913.5,236.29116821289062
1914.5,236.29701232910156
1915.5,236.3003692626953
1916.5,236.3104248046875
1917.5,236.31979370117188
1918.5,236.33384704589844
1919.5,236.34666442871094
1920.5,236.36109924316406
1921.5,236.37496948242188
1922.5,236.39207458496094
1923.5,236.40518188476562
1924.5,236.42010498046875
1925.5,236.43626403808594
1926.5,236.45127868652344
1927.5,236.4678192138672
1928.5,236.4809112548828
1929.5,236.49588012695312
1930.5,236.50848388671875
