Time (year),tas (K)
1850.5,286.56402587890625
1851.5,286.5799560546875
1852.5,286.5921325683594
1853.5,286.5987854003906
1854.5,286.6070556640625
1855.5,286.610107421875
1856.5,286.6143798828125
1857.5,286.6197204589844
1858.5,286.6233825683594
1859.5,286.62506103515625
1860.5,286.630615234375
1861.5,286.63134765625
1862.5,286.6366882324219
1863.5,286.6412658691406
1864.5,286.646728515625
1865.5,286.6497497558594
1866.5,286.65289306640625
1867.5,286.65838623046875
1868.5,286.6631164550781
1869.5,286.67425537109375
1870.5,286.6850891113281
1871.5,286.6954345703125
1872.5,286.706298828125
1873.5,286.7158203125
1874.5,286.7260437011719
1875.5,286.73736572265625
1876.5,286.74432373046875
1877.5,286.7486572265625
1878.5,286.7544250488281
1879.5,286.7654113769531
1880.5,286.7768249511719
1881.5,286.7926330566406
1882.5,286.80767822265625
1883.5,286.8261413574219
1884.5,286.849853515625
1885.5,286.87164306640625
1886.5,286.900390625
1887.5,286.930419921875
1888.5,286.9664306640625
1889.5,286.99591064453125
1890.5,287.0253601074219
1891.5,287.05126953125
1892.5,287.08038330078125
1893.5,287.10650634765625
1894.5,287.1295166015625
1895.5,287.1580810546875
1896.5,287.1863098144531
1897.5,287.2174072265625
1898.5,287.2509460449219
1899.5,287.2845153808594
1900.5,287.3215026855469
1901.5,287.3658447265625
1902.5,287.4076232910156
1903.5,287.4402160644531
1904.5,287.4747619628906
1905.5,287.5074157714844
1906.5,287.5420837402344
1907.5,287.57257080078125
1908.5,287.6034851074219
1909.5,287.63287353515625
1910.5,287.66339111328125
1911.5,287.6928405761719
1912.5,287.7185974121094
1913.5,287.7433776855469
1914.5,287.7679138183594
1915.5,287.7889709472656
1916.5,287.8117370605469
1917.5,287.8323059082031
1918.5,287.8536376953125
1919.5,287.8725280761719
1920.5,287.89080810546875
1921.5,287.9071350097656
1922.5,287.92376708984375
1923.5,287.9366455078125
1924.5,287.94921875
1925.5,287.961181640625
1926.5,287.97113037109375
1927.5,287.98089599609375
1928.5,287.9876403808594
1929.5,287.99444580078125
1930.5,287.9991455078125
1931.5,288.00439453125
1932.5,288.00762939453125
1933.5,288.0106201171875
1934.5,288.0126647949219
1935.5,288.0145568847656
1936.5,288.01605224609375
1937.5,288.01715087890625
1938.5,288.0163879394531
1939.5,288.0161437988281
1940.5,288.0160217285156
1941.5,288.01611328125
1942.5,288.0155944824219
1943.5,288.013671875
1944.5,288.0123291015625
1945.5,288.01055908203125
1946.5,288.00823974609375
1947.5,288.00628662109375
1948.5,288.00360107421875
1949.5,288.0021667480469
1950.5,287.9991455078125
1951.5,287.9963073730469
1952.5,287.99383544921875
1953.5,287.98992919921875
1954.5,287.9879455566406
1955.5,287.9855651855469
1956.5,287.9824523925781
1957.5,287.98077392578125
1958.5,287.9766845703125
1959.5,287.9758605957031
1960.5,287.97369384765625
1961.5,287.97088623046875
1962.5,287.97064208984375
1963.5,287.96820068359375
1964.5,287.965576171875
1965.5,287.96441650390625
1966.5,287.96185302734375
1967.5,287.9613037109375
1968.5,287.9578552246094
1969.5,287.9570617675781
1970.5,287.95654296875
1971.5,287.9539794921875
1972.5,287.9529724121094
1973.5,287.9519958496094
1974.5,287.9515380859375
1975.5,287.9507751464844
1976.5,287.9478759765625
1977.5,287.94879150390625
1978.5,287.9470520019531
1979.5,287.94586181640625
1980.5,287.9455871582031
1981.5,287.94488525390625
1982.5,287.9448547363281
1983.5,287.9442443847656
1984.5,287.9453125
1985.5,287.94580078125
1986.5,287.94464111328125
1987.5,287.9453125
1988.5,287.94488525390625
1989.5,287.9456481933594
1990.5,287.94598388671875
1991.5,287.9459533691406
1992.5,287.9462890625
1993.5,287.9450378417969
1994.5,287.94580078125
1995.5,287.9452209472656
1996.5,287.94403076171875
1997.5,287.9455871582031
1998.5,287.94512939453125
1999.5,287.94488525390625
2000.5,287.9446716308594
2001.5,287.9454345703125
2002.5,287.94525146484375
2003.5,287.94403076171875
2004.5,287.9435729980469
2005.5,287.9449157714844
2006.5,287.9451904296875
2007.5,287.94647216796875
2008.5,287.9454345703125
2009.5,287.9460144042969
2010.5,287.9455261230469
2011.5,287.9456481933594
2012.5,287.9466857910156
2013.5,287.9462890625
2014.5,287.9482116699219
2015.5,287.9483337402344
2016.5,287.9471130371094
2017.5,287.94818115234375
2018.5,287.9469909667969
2019.5,287.9474182128906
2020.5,287.9476318359375
2021.5,287.9477233886719
2022.5,287.948974609375
2023.5,287.9478454589844
2024.5,287.9478759765625
2025.5,287.9491882324219
2026.5,287.9493408203125
2027.5,287.95074462890625
2028.5,287.9489440917969
2029.5,287.9493408203125
2030.5,287.9499206542969
2031.5,287.9499206542969
2032.5,287.9509582519531
2033.5,287.9508972167969
2034.5,287.9522705078125
2035.5,287.95263671875
2036.5,287.951416015625
2037.5,287.9529113769531
2038.5,287.9532470703125
2039.5,287.95330810546875
2040.5,287.9538269042969
2041.5,287.9537658691406
2042.5,287.9558410644531
2043.5,287.955322265625
2044.5,287.95635986328125
2045.5,287.9564208984375
2046.5,287.9566345214844
2047.5,287.9571533203125
2048.5,287.95697021484375
2049.5,287.95721435546875
2050.5,287.95770263671875
2051.5,287.95849609375
2052.5,287.9594421386719
2053.5,287.95867919921875
2054.5,287.9597473144531
2055.5,287.9599914550781
2056.5,287.96014404296875
2057.5,287.9605712890625
2058.5,287.960693359375
2059.5,287.96197509765625
2060.5,287.9626770019531
2061.5,287.9632568359375
2062.5,287.9637756347656
2063.5,287.96380615234375
