Time (year),co2 (ppm)
1850.5,285.09503173828125
1851.5,285.3128967285156
1852.5,285.5567932128906
1853.5,285.8084411621094
1854.5,286.0752868652344
1855.5,286.3366394042969
1856.5,286.6138916015625
1857.5,286.901611328125
1858.5,287.2298278808594
1859.5,287.56640625
1860.5,287.93682861328125
1861.5,288.3443298339844
1862.5,288.8109436035156
1863.5,289.301513671875
1864.5,289.8605041503906
1865.5,290.4848937988281
1866.5,291.1820983886719
1867.5,291.96588134765625
1868.5,292.8511962890625
1869.5,293.8190002441406
1870.5,294.9097900390625
1871.5,296.128662109375
1872.5,297.4790344238281
1873.5,298.9600830078125
1874.5,300.607421875
1875.5,302.3857727050781
1876.5,304.3348388671875
1877.5,306.44219970703125
1878.5,308.73126220703125
1879.5,311.18450927734375
1880.5,313.8435363769531
1881.5,316.67431640625
1882.5,319.70068359375
1883.5,322.9133605957031
1884.5,326.3161315917969
1885.5,329.9107971191406
1886.5,333.7037048339844
1887.5,337.6856994628906
1888.5,341.849609375
1889.5,346.16619873046875
1890.5,350.64324951171875
1891.5,355.2626037597656
1892.5,359.9898986816406
1893.5,364.80792236328125
1894.5,369.69879150390625
1895.5,374.64508056640625
1896.5,379.6276550292969
1897.5,384.61846923828125
1898.5,389.6158447265625
1899.5,394.5941467285156
1900.5,399.5372619628906
1901.5,404.4192810058594
1902.5,409.2357482910156
1903.5,413.9567565917969
1904.5,418.5517272949219
1905.5,422.9856872558594
1906.5,427.246826171875
1907.5,431.3194580078125
1908.5,435.18170166015625
1909.5,438.8113708496094
1910.5,442.20660400390625
1911.5,445.3546447753906
1912.5,448.2633361816406
1913.5,450.913330078125
1914.5,453.3336181640625
1915.5,455.5034484863281
1916.5,457.4198303222656
1917.5,459.0887756347656
1918.5,460.5335693359375
1919.5,461.7571716308594
1920.5,462.7762756347656
1921.5,463.6051025390625
1922.5,464.2474365234375
1923.5,464.7103271484375
1924.5,465.0103759765625
1925.5,465.1427307128906
1926.5,465.1346435546875
1927.5,464.979248046875
1928.5,464.7072448730469
1929.5,464.3269348144531
1930.5,463.8652038574219
1931.5,463.3140563964844
1932.5,462.69708251953125
1933.5,462.02142333984375
1934.5,461.29840087890625
1935.5,460.5204162597656
1936.5,459.72076416015625
1937.5,458.9002685546875
1938.5,458.0633239746094
1939.5,457.2137756347656
1940.5,456.3768005371094
1941.5,455.53387451171875
1942.5,454.6979675292969
1943.5,453.8624572753906
1944.5,453.0574035644531
1945.5,452.2715759277344
1946.5,451.5072937011719
1947.5,450.7631530761719
1948.5,450.0455322265625
1949.5,449.3447265625
1950.5,448.6338806152344
1951.5,447.9238586425781
1952.5,447.2474670410156
1953.5,446.6019592285156
1954.5,445.9754333496094
1955.5,445.3733825683594
1956.5,444.8035888671875
1957.5,444.2649841308594
1958.5,443.73760986328125
1959.5,443.23883056640625
1960.5,442.7607116699219
1961.5,442.30621337890625
1962.5,441.85546875
1963.5,441.4234619140625
1964.5,441.0125732421875
1965.5,440.60321044921875
1966.5,440.2119140625
1967.5,439.81536865234375
1968.5,439.4316101074219
1969.5,439.0636901855469
1970.5,438.7068786621094
1971.5,438.3612060546875
1972.5,438.0108642578125
1973.5,437.6776428222656
1974.5,437.3560791015625
1975.5,437.03424072265625
1976.5,436.7247619628906
1977.5,436.4121398925781
1978.5,436.107421875
1979.5,435.80029296875
1980.5,435.51092529296875
1981.5,435.2172546386719
1982.5,434.934814453125
1983.5,434.6551208496094
1984.5,434.3882751464844
1985.5,434.12469482421875
1986.5,433.8627624511719
1987.5,433.6014099121094
1988.5,433.33709716796875
1989.5,433.0797119140625
1990.5,432.81585693359375
1991.5,432.5599365234375
1992.5,432.3016052246094
1993.5,432.05938720703125
1994.5,431.8066711425781
1995.5,431.559814453125
1996.5,431.3097839355469
1997.5,431.0623779296875
1998.5,430.80389404296875
1999.5,430.5490417480469
2000.5,430.2925720214844
2001.5,430.0489501953125
2002.5,429.8052673339844
2003.5,429.5467224121094
2004.5,429.2930603027344
2005.5,429.037109375
2006.5,428.7917175292969
2007.5,428.5494079589844
2008.5,428.3158874511719
2009.5,428.0673828125
2010.5,427.8229064941406
2011.5,427.597900390625
2012.5,427.35675048828125
2013.5,427.12493896484375
2014.5,426.89117431640625
2015.5,426.65875244140625
2016.5,426.42022705078125
2017.5,426.20599365234375
2018.5,425.9765625
2019.5,425.7439880371094
2020.5,425.5107421875
2021.5,425.2823181152344
2022.5,425.05316162109375
2023.5,424.8291015625
2024.5,424.60467529296875
2025.5,424.38525390625
2026.5,424.16778564453125
2027.5,423.9550476074219
2028.5,423.735595703125
2029.5,423.5329284667969
2030.5,423.315185546875
2031.5,423.1014099121094
2032.5,422.8796081542969
2033.5,422.6754455566406
2034.5,422.4606628417969
2035.5,422.2565002441406
2036.5,422.0619812011719
2037.5,421.85968017578125
2038.5,421.6656799316406
2039.5,421.4576721191406
2040.5,421.2698974609375
2041.5,421.0834045410156
